source,target,value
1,125,2
1,121,1
1,119,1
1,114,1
1,84,1
1,61,1
1,50,2
1,40,1
1,29,1
2,108,1
2,70,1
2,67,1
3,165,1
3,151,1
3,125,2
3,119,3
3,118,1
3,115,1
3,114,2
3,93,2
3,50,2
3,40,1
3,29,1
4,151,5
4,125,1
4,121,1
4,119,1
4,116,1
4,108,3
4,90,1
4,40,2
5,126,1
5,125,1
5,121,1
5,67,1
5,44,1
5,40,1
5,29,1
6,177,1
6,175,14
6,174,14
6,171,7
6,165,6
6,151,18
6,150,1
6,139,1
6,127,20
6,125,30
6,122,1
6,121,5
6,119,20
6,118,4
6,116,6
6,114,10
6,111,1
6,108,20
6,107,3
6,98,1
6,96,1
6,93,3
6,90,16
6,84,12
6,82,1
6,81,1
6,78,4
6,75,7
6,73,1
6,67,16
6,61,10
6,59,1
6,58,1
6,56,1
6,50,12
6,49,3
6,40,19
6,34,1
6,29,49
6,28,3
6,19,9
6,18,9
6,12,1
6,11,5
7,67,1
7,40,1
8,121,1
8,119,1
8,90,1
8,78,1
9,138,1
9,119,1
9,93,1
9,15,1
10,158,1
10,127,1
10,125,1
10,108,1
10,90,1
10,29,1
11,175,13
11,174,6
11,173,1
11,171,5
11,169,1
11,165,4
11,159,1
11,156,1
11,155,1
11,151,65
11,150,1
11,148,1
11,145,2
11,139,2
11,136,3
11,127,11
11,126,1
11,125,70
11,122,6
11,121,49
11,119,67
11,118,10
11,117,1
11,116,34
11,114,31
11,109,1
11,108,46
11,107,11
11,101,1
11,96,2
11,93,18
11,90,42
11,84,31
11,80,1
11,78,11
11,75,5
11,67,60
11,63,1
11,61,18
11,59,1
11,55,1
11,50,51
11,49,14
11,47,1
11,42,1
11,40,101
11,29,36
11,28,3
11,27,1
11,25,1
11,20,2
11,19,9
11,18,11
11,16,1
11,14,1
12,177,1
12,127,1
12,125,1
12,121,1
12,119,1
12,108,1
12,90,1
12,67,1
12,40,1
12,29,1
13,175,1
13,174,1
13,121,1
13,108,1
13,107,1
13,67,1
13,40,1
13,29,1
13,19,1
13,18,1
14,151,3
14,119,1
14,116,1
14,40,2
15,151,1
15,138,1
15,121,1
15,120,1
15,119,4
15,93,2
15,64,1
15,62,2
15,48,1
15,40,1
15,32,1
15,29,1
16,175,1
16,171,1
16,90,1
16,84,1
16,29,1
16,19,1
16,18,1
17,151,2
18,175,50
18,174,21
18,172,1
18,171,10
18,165,6
18,160,2
18,155,1
18,151,31
18,150,3
18,145,1
18,144,1
18,139,6
18,127,41
18,126,1
18,125,68
18,122,4
18,121,30
18,119,45
18,118,20
18,116,9
18,114,17
18,112,1
18,108,45
18,107,8
18,103,1
18,101,2
18,96,1
18,93,10
18,90,34
18,84,28
18,80,1
18,79,1
18,78,13
18,77,1
18,75,8
18,71,1
18,67,42
18,63,1
18,61,11
18,59,9
18,58,1
18,50,20
18,49,11
18,47,1
18,44,3
18,40,45
18,31,1
18,29,81
18,28,4
18,27,1
18,19,101
19,175,50
19,174,20
19,172,1
19,171,10
19,165,6
19,160,2
19,155,1
19,151,31
19,150,3
19,145,1
19,144,1
19,139,6
19,127,41
19,126,1
19,125,67
19,122,4
19,121,29
19,119,45
19,118,20
19,116,8
