name,group,size,info,url
Adobe Director,5,1,"Adobe director is awesome, and obsolete",there
Affinity Designer,5,2,Hello,there
After Effects,5,1,Hello,there
Altair,6,3,Hello,there
Alteryx,1,5,Hello,there
AmCharts,6,2,Hello,there
Angular,6,53,Hello,there
Animate CC,5,1,Hello,there
Apache superset,1,1,Hello,there
aplpy,7,1,Hello,there
Arcadia Data,1,1,Hello,there
ArcGIS,8,141,Hello,there
Axure,9,1,Hello,there
Blender,10,1,Hello,there
BO,1,3,Hello,there
Bokeh,7,4,Hello,there
Britecharts,6,1,Hello,there
Business Objects,1,4,Hello,there
Canva,5,104,Hello,there
Canvas,6,101,Hello,there
Carto,8,4,Hello,there
Cesium.js,6,1,Hello,there
Charticulator,12,1,Hello,there
Chartio,1,2,Hello,there
chartjs,6,1,Hello,there
Cognos,1,2,Hello,there
CoreldRAW,5,1,Hello,there
css,11,1,Hello,there
Cytoscape,6,25,Hello,there
D3,6,463,Hello,there
Data Illustrator,12,1,Hello,there
Datacubes,1,1,Hello,there
Datashader,7,1,Hello,there
Datawrapper,12,6,Hello,there
deck.gl,6,2,Hello,there
decksh,6,1,Hello,there
Domo,1,3,Hello,there
elm-visualization,6,1,Hello,there
Ember.js,6,1,Hello,there
EPIC EHR,1,1,Hello,there
Excel,2,752,Whoa,there
Facebook Analytics,1,1,Hello,there
Figma,9,3,Hello,there
FlexDashboard,7,1,Hello,there
Flourish,1,11,Hello,there
framers,9,1,Hello,there
Gamesparks,10,1,Hello,there
GeoDa,8,1,Hello,there
geoviews,8,1,Hello,there
Gephi,3,78,Hello,there
ggplot2,7,445,Hello,there
ggvis,7,1,Hello,there
Gnuplot,7,1,Hello,there
goodData,1,1,Hello,there
Google Charts,12,1,Hello,there
Google Data Studio,1,11,Hello,there
Google Earth Engine,8,1,Hello,there
Google Map,8,1,Hello,there
Google Sheets,2,8,Hello,there
Greensock,9,14,Hello,there
grid,6,1,Hello,there
Highcharts,6,95,Hello,there
Holoviews,7,4,Hello,there
html,11,1,Hello,there
hvplot,7,1,Hello,there
Ibm cognos,1,1,Hello,there
Igor Pro from Wavemetrics,1,1,Hello,there
Illustrator,5,347,Hello,there
ImageJ/Fiji,6,1,Hello,there
In house Software,13,2,Hello,there
InDesign,5,4,Hello,there
Infogram,12,5,Hello,there
Inkscape,5,4,Hello,there
iPad,5,1,Hello,there
It is highly variable,13,1,Hello,there
Javascript,6,37,Hello,there
Julia,7,1,Hello,there
Jupyter,7,1,Hello,there
kepler.gl,6,40,Hello,there
KeyLines API,3,1,Hello,there
Keynote,5,2,Hello,there
Kibana,12,1,Hello,there
Knowage,1,2,Hello,there
lattice,6,1,Hello,there
Leaflet,8,164,Hello,there
libre office,5,1,Hello,there
libSVGwrite,6,1,Hello,there
Looker,7,3,Hello,there
LucidChart,12,1,Hello,there
lucidpress,12,1,Hello,there
Mapbox,8,208,Hello,there
Mathematica,7,2,Hello,there
MATLAB,7,6,Hello,there
